issue_area,issue_subtopic,pattern,exclusionary_term,anchor_phrases,,,,
AI,AI Privacy,tracking;#tracking;geolocation;#geolocation;data collection;#datacollection;adtech;#adtech;kids online;#kidsonline;mass surveillance;#masssurveillance,,,,,,climate change;#climatechange;sustainability;#sustainability;carbon offsets;#carbon offsets;ESG;#ESG;anti-ESG;#anti-ESG;anti ESG;#antiESG;fudiciary duty;#fudiciaryduty;divestment;#divestment;net zero;#netzero;carbon neutral;#carbon neutral;carbon emissions;#carbonemissions;CSDDD;CSD3;EUDR;EU climate reporting;nuclear energy;offshore drilling
AI,AI Workforce,tech layoffs;#techlayoffs;automate;#automate;workforce;#workforce;upskilling;#upskilling,,,,,,
Sustainability,Cocoa,cocoa;#cocoa;chocolate;#chocolate;chocolate products;cocoa products;sustainable cocoa;cocoa sustainability;Côte d’Ivoire;Ghana;#Ghana;traceability;#traceability;responsible sourcing;cocoa sourcing;supply chain traceability;corporation;corporations;corporate responsibility;#corporation;#corporations;#chocolateproducts;#cocoaproducts;#sustainablecocoa;#cocoasustainability;#Côted’Ivoire;#responsiblesourcing;#cocoasourcing;#supplychaintraceability;#corporateresponsibility,,,,,,
Sustainability,Supply Chain,supply chain;cocoa supply chain;Côte d’Ivoire;#Ghana;Ghana;supply chain traceability;#supply chain traceability;supplier sustainability;cocoa due diligence;child labor;forced labor;human trafficking;freedom of association;collective bargaining;non-discrimination;#non-discrimination;harassment;#harassment;wages;#wages;working hours;worker health and safety;food safety and quality;food safety;food quality;worker health;worker safety;worker benefits;corporations;#corporations;corporation;#corporation;corporate responsibility;#supplychain;#cocoasupplychain;#Côted’Ivoire;#supplychaintraceability;#suppliersustainability;#cocoaduediligence;#grievancemechanisms;#childlabor;#forcedlabor;#humantrafficking;#freedomofassociation;#collectivebargaining;#workinghours;#workerhealthandsafety;#foodsafetyandquality;#foodsafety;#foodquality;#workerhealth;#workersafety;#workerbenefits;#corporateresponsibility;grievance mechanisms,,,,,,
Crime & Safety,Anti-Corporate Populism,boycott;protest;looter;looting,,,,,,
Crime & Safety,Criminal Justice Reform,criminal justice reform;no knock warrant;black lives matter;criminal justice;police brutality;cop city;public safety,,,,,,
Crime & Safety,Gun Violence,gun control;gun violence;gun buybacks;weapon ban;2nd amendment;2nd amendment rights;second amendment;mass shooting;school shooting;gun restrictions;gun rights;gun safety,,,,,,
Crime & Safety,Political Violence,political violence;political extermism;extremism;right-wing extremism;left-wing extremism,,,,,,
Crime & Safety,Retail Theft,retail theft;employee safety;store safety;violent retail theft;shoplifting;shrinkage;retail theft legislation;CORCA;store security;organized retail theft;retail crime;return fraud,,,,,,
Gender Equity,Childcare Access,paid leave benefits;maternity leave;childcare access for workers;caregivers leaving the workforce;caregivers quitting jobs;paid maternal leave;paid paternal leave,,,,,,
Gender Equity,Pay Equity,pay equity;gender pay gap;pay transparency;women compensation;gender wage gap,,,,,,
Gender Equity,RTO,return-to-office mandates;workplace flexibility;RTO policy;RTO mandate;return to office;work from home,,,,,,
Gender Equity,Sexual Harassment,workplace harassment;sexual harassment in the workplace;sex discrimination,Diddy;Blake Lively;Justin Baldoni,,,,,
Gender Equity,Workforce Demographics,women leaving the workforce;women in the workforce;women employees leaving;female employees leaving;women quitting jobs;mothers leaving the workforce;mothers quitting jobs,,,,,,
LGBTQ+ Equality,Discrimination,hate crime;slur;title ix;title nine;discrimination;EEOC;andrea lucas;homophobia;homophobic;transphobic;transphobia;homophobe;transphobe;equal employment;Bostock;religious exemption;religious discrimination;anti-gay;anti gay,,,,,,
LGBTQ+ Equality,General,#homophobia;homophobia;pride month;#pridemonth;rainbow washing;#rainbowwashing;lgbtq equality;#lgbtqequality;marriage equality;#marriageequality;dragshow bans;#dragshowbans;drag show ban;#dragshowban;bathroombill;#bathroombill;gender affirming care;#genderaffirmingcare;gender affirming care ban;#genderaffirmingcareban;lgbtq state legislation;#lgbtqstatelegislation;antitrans legislation;#antitranslegislation;pronoun ban;#pronounban;lgbtq book ban;#lgbtqbookban;lgbtq education ban;#lgbtqeducationban;sexual orientation education;#sexualorientationeducation;sexual censorship;#sexualcensorship;lgbtq woke;#lgbtqwoke;rfma;#rfma;#antitrans;anti trans;transgender bans;#transgenderbans;gender dysphoria;#genderdysphoria;detransition;#detransition;drag bans;#dragbans,,,,,,
LGBTQ+ Equality,Legislation & Litigation,trans ban;transgender ban;bathroom ban;anti-discrimination;gender identity discrimination;sexual orientation discrimination;Obergefell;Title IX;religious exemption;legislation;laws;gender-affirming care ban;Supreme Court;SCOTUS;lawsuit;religious discrimination;drag ban;wrongful termination,,,,,,
LGBTQ+ Equality,PRIDE,Pride Month;lgbtq+ pride;pride campaign;pride marketing;pride merchandise;pride merch;rainbow washing;pink washing;Pride parade;sponsorship;sponsor;World Pride,,,,,,
LGBTQ+ Equality,Target Volatility Calculation,#lgbtqwokeism;lgbtq woke;#lgbtqcorporatewokeism;#tuckfriendly;tuck friendly;lgbtq wokeism;lgbtq corporate wokeism;dylan mulvaney;#dylanmulvaney;Target pride collection;#targetpridecollection;rainbow capitalism;#rainbowcapitalism;youth LGBTQ merchandise;#youthlgbtqmerchandise;youthlgbtqclothing;#youthlgbtqclothing;antitrans activists;#antitransactivists;#dragbans;drag bans;dragshowbans;#dragshowbans;#homophobia;homophobia;corporate lgbtq advocacy;#corporatelgbtqadvocacy;pride month;#pridemonth;rainbow washing;#rainbowwashing;lgbtq equality;#lgbtqequality;marriage equality;#marriageequality;#dragshowban;dragshow ban;bathroom bill;#bathroombill;gender affirming care;#genderaffirmingcare;gender affirming care ban;#genderaffirmingcareban;lgbtq state legislation;#lgbtqstatelegislation;antitranslegislation;#antitranslegislation;pronoun ban;#pronounban;lgbtq book ban;#lgbtqbookban;lgbtq education ban;#lgbtqeducationban;sexual orientation education;#sexualorientationeducation;sexual censorship;#sexualcensorship;rfma;#rfma;antitrans;#antitrans;trans bans;#transbans;pride campaigns;#pridecampaigns;boycott Target;#boycotttarget;#boycottbudlight;boycott budlight,,,,,,
LGBTQ+ Equality,Transgender Issues,gender-affirming care;hormone treatment;puberty blockers;transition surgery;de-transition surgery;cross-sex hormones;transgender;sports participation;NAIA;NCAA;IOC;Athlete Ally;Save Women’s Sports;Concerned Women for America;Independent Women's Forum;biological sex;hormone therapy;transgender legislation;trans ban;bathroom bill;bathroom ban;gender dysphoria;pronouns;military policy;passport;Protect Children’s Innocence Act;anti-trans;anti trans;mtf;ftm;gender identity;transing;transphobe;transphobic,,,,,,
Racial Equity,Activist Action,woke;allegedly;company;boycott;protest,,,,,,
Racial Equity,Administration Pressure,EEOC;#EEOC;anti-discrimination;DOJ;federal probe,,,,,,
Racial Equity,Affirmative Action,affirmative action;#affirmativeaction,,,,,,
Racial Equity,Critical Race Theory,critical race theory;#criticalracetheory;CRT;#CRT,,,,,,
Racial Equity,DEI,DEI;#DEI;diversity;#diversity;MBDA;#MBDA;Jeffrey Nuziard;Minority Business Development Agency;title vii;#titlevii;title vi;#titlevi;section 1981;#section1981;section 1981 of the civil rights act;#section1981ofthecivilrightsact;board diversity;MEI;chief diversity officer;chief belonging officer;inclusive workplace;inclusive workforce,,,,,,
Racial Equity,General,Racial equity;#Racialequity;black lives matter;#blacklivesmatter;BLM;#BLM;DEI;#DEI;diversity;#diversity;critical race theory;#criticalracetheory;CRT;#CRT;racial justice;inclusion;belonging;inclusive environment,,,,,,
Racial Equity,Supplier Diversity,supplier diversity;minority suppliers;diverse suppliers;diverse supplier;diverse supply chains;diverse supply chain,,,,,,
Religious & Political Diversity,Antisemitism,antisemitism;antisemitic;jewish hate;jewish targeting;anti-Jewish;holocaust denial,,,,,,
Religious & Political Diversity,Political Expression,corporate political engagement policy;political harassment;ideologically motivated harassment;political discrimination;viewpoint discrimination;hostile work environment;ideological discrimination;political expression;workplace expression;workplace conduct;dress code;online political expression;workplace advocacy;employee conduct;code of conduct;employee political post;workplace free speech;workplace freedom of expression,,,,,,
Religious & Political Diversity,Religious Discrimination,islamaphobia;religious discrimination;#religiousdiscrimination;religious harassment;#religiousharassment;religious targeting;#religioustargeting;christian intolerance;#christianintolerance;religious freedom;#religiousfreedom;#religiousrights;religious rights;#islamaphobia;antisemitism;#antisemitism;religious intolerance;#religiousintolerance;boycott divestment sanction;#boycottdivestmentsanction;#BDS;BDS;antimuslim;#antimuslim;antichristian;#antichristian;antiislam;#antiislam;antisemitic;#antisemitic,,,,,,
Religious & Political Diversity,Religious Lawsuits,religious lawsuits;#religiouslawsuits;religious lawsuit;religiouslawsuit;religious cases;religious case;sued for religion;sued for religious;religious discrimination case;religious discrimination suit;religious freedom;religious discrimination charge,,,,,,
Reproductive Rights,Abortion Pills,#mifepristone;mifperistone;misoprostal;#misoprostal;abortion pill;#abortionpill;abortion pills;#abortionpills;medication abortion;mail-order abortion;mail abortion pills;out-of-state abortion,,,,,,
Reproductive Rights,Employer Abortion Coverage,corporate abortion coverage;#corporateabortioncoverage;out-of-state coverage;#outofstatecoverage;employer abortion coverage;#employerabortioncoverage;abortion coverage;abortion insurance coverage,,,,,,
Reproductive Rights,General,abortion rights;#abortionrights;abortion;#abortion;abortion access;#abortionaccess;roe v wade;#roevwade;roe vs wade;#roevswade;dobbs v jackson;#dobbsvjackson;#contraceptionaccess;contraception access;mifepristone;#mifepristone;abortion medication;#abortionmedication;reproductive rights;#reproductiverights;abortion pill;#abortionpill;dobbs decision;#dobbsdecision;IVF;misoprostol;#misoprostol;fetal personhood;#abortionisahumanright;#abortionishealthcare;#prochoice;#prolife;#mybodymychoice;abortion pills;#marchforlife;pro choice;reproductive justice;IVF access;sexual health;reproductive health;oral contraceptives,,,,,,
Reproductive Rights,IVF,IVF;in vitro fertilization;in vitro;frozen embryo;frozen embryos;Trump IVF;IVF Executive Order;IVF access,,,,,,
Reproductive Rights,Legislation,abortion state ban;#abortionstateban;#6weekban;6 week ban;restrict abortion;#restrictabortion;#contraceptiveban;roe vs wade;#roevwade;roe v wade;dobbs vs jackson;dobbs v jackson;#dobbsvjackson;shield law;near-total abortion ban;mifepristone restrictions;abortion bill;abortion law;medical exceptions to abortion;EMTALA;Emergency Medicl Treatment and Labor Act;abortion sheild law;criminalize abortion,,,,,,
Reproductive Rights,Mifepristone,FDA;mifepristone;mife;abortion pill;abortion pills;abortion medication;FDA approved;generic abortion pill;medication abortion;attacks on mifepristone,,,,,,
Reproductive Rights,SCOTUS,SCOTUS;Supreme Court;EMTALA;Emergency Medical Treatment and Active Labor Act;Defense of Life Act,,,,,,
Tech,Content Moderation,content moderation;disinformation;hate speech;censor;censorship;#contentmoderation;#disinformation;#hatespeech;#censorship;algorithmic suppression;deplatforming;Section 230;Common Decency Act;anti-conservative bias;autonomous vehicles;#autonomousvehicles;AVs;#AVs;minsinformation;#misinformation,,,,,,
Tech,Data Privacy,data privacy;#dataprivacy;Children’s Online Privacy Protection Act;COPPA;parental consent;digital privacy;parental controls;children's privacy;kid's privacy;privacy violations;privacy protections;online privacy;#KidsOnlineSafetyAct;kid's online safety act;KOSA;#KOSA;age verification;#ageverification,,,,,,
Tech,UK,UK;#UK;United Kingdom;united kingdom;uk;#uk;#unitedkingdom;#Unitedkingdom,,,,,,
Workers' Rights,Child Labor,child labor;migrant child labor,,,,,,
Workers' Rights,International Union Activity,Unison;GMB;Union of Shop Distributive & Allied Workers;Service Employees International Union;App Drivers & Couriers Union;Industrial Workers of the World;Unite the Union;IG Metal;IGM;IG Bergbau Chemie Energie;IG BCE;Swedish Union for Service & Communication Employees;Swedish Transport Workers' Union;Swedish Hotel & Restaurant Workers' Union;IF Metal;Swedish Food Workers' Union;Confederation of Trade Unions;International Trade Union Confederation;Confederation francaise democratique du travail;CFDT;Force ouvriere;General Confederation of Greek Workers,,,,,,
Workers' Rights,Return to Office (RTO),Return to Office;RTO;Work from Home;WFH,,,,,,
Workers' Rights,Unions,union;UAW;Teamsters;SAG;SAG-Aftra;Writers Guild of America Leaders,,,,,,
Workers' Rights,Worker Rights,unionization;unions;#unionization;union busting;#unionbusting;layoffs;#layoffs;returntooffice;#returntooffice;#childlabor;childlabor;#illegallabor;illegal labor;collective action;#collectiveaction;#gigworkers;gigworkers;migrant labor;#migrantlabor;#childmigrantlabor;child migrant labor;layoff backlash;#layoffbacklash;labor strike;#laborstrike,,,,,,
